Beginning Training Episodes...
----------HyperParameters Used----------
----------Batch Size  :32
----------LearningRate:0.000100
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.010000
----------Epsilon Max :1.000000
----------Epsilon Decau :0.995000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 267, score: 284.0, average_score : 132.45, number of frames: 284, epsilon: 0.2609670281126685
episode: 268, score: 343.0, average_score : 135.77, number of frames: 343, epsilon: 0.25966219297210513
episode: 269, score: 218.0, average_score : 137.85, number of frames: 218, epsilon: 0.2583638820072446
episode: 270, score: 360.0, average_score : 141.29, number of frames: 360, epsilon: 0.2570720625972084
episode: 271, score: 250.0, average_score : 143.66, number of frames: 250, epsilon: 0.25578670228422234
episode: 272, score: 328.0, average_score : 146.84, number of frames: 328, epsilon: 0.25450776877280124
episode: 273, score: 268.0, average_score : 149.34, number of frames: 268, epsilon: 0.2532352299289372
episode: 274, score: 301.0, average_score : 152.23, number of frames: 301, epsilon: 0.2519690537792925
episode: 275, score: 234.0, average_score : 154.48, number of frames: 234, epsilon: 0.2507092085103961
episode: 276, score: 215.0, average_score : 156.53, number of frames: 215, epsilon: 0.2494556624678441
episode: 277, score: 325.0, average_score : 159.66, number of frames: 325, epsilon: 0.24820838415550486
episode: 278, score: 420.0, average_score : 163.77, number of frames: 420, epsilon: 0.24696734223472733
episode: 279, score: 194.0, average_score : 165.58, number of frames: 194, epsilon: 0.2457325055235537
episode: 280, score: 426.0, average_score : 169.74, number of frames: 426, epsilon: 0.24450384299593592
episode: 281, score: 262.0, average_score : 172.24, number of frames: 262, epsilon: 0.24328132378095624
episode: 282, score: 256.0, average_score : 174.68, number of frames: 256, epsilon: 0.24206491716205145
episode: 283, score: 244.0, average_score : 177.02, number of frames: 244, epsilon: 0.2408545925762412
episode: 284, score: 291.0, average_score : 179.85, number of frames: 291, epsilon: 0.23965031961336
episode: 285, score: 288.0, average_score : 182.56, number of frames: 288, epsilon: 0.2384520680152932
